description_zh,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_total_dietary_g,sugars_g,fe_mg,na_mg,serving_size_g,description_en,source
全麦薄脆奶酪蔬菜比萨,226.0,9.61,10.64,24.39,3.1,3.4,2.38,483.0,162.0,"Pizza, cheese and vegetables, whole wheat thin crust",fndd
全麦薄饼,273.0,7.86,12.29,32.9,3.2,6.89,3.15,722.0,35.0,"Pancakes, whole grain",fndd
全麦薄饼，快餐/餐厅款,299.0,7.59,15.8,31.76,3.1,6.65,3.05,751.0,35.0,"Pancakes, whole grain, fast food / restaurant",fndd
全麦谷物，煮熟的,47.0,1.55,0.28,10.39,1.3,0.06,0.44,71.0,240.0,"Whole wheat cereal, cooked",fndd
全麦贝果,250.0,10.2,1.53,48.89,4.1,6.12,2.76,439.0,87.0,"Bagel, whole wheat",fndd
全麦面包,254.5,10.814999999999998,3.700833333333332,45.80166666666667,6.288888888888889,4.266,2.6690909090909085,478.90909090909093,32.5,"BAY VIEW FARMS, Bread, 100% whole wheat (CA2) - NFY12057U",foundation
全麦面包卷,268.0,9.1,6.15,45.3,3.8,3.94,3.75,491.0,48.0,"Roll, bran, NS as to type of bran",fndd
全麦面包水果坚果口味,222.0,7.83,2.14,49.95,8.9,14.51,2.96,406.0,26.5,"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts",fndd
全麦面包鸡蛋三明治,226.0,11.48,9.25,24.13,2.8,2.81,2.39,348.0,115.0,Egg sandwich on wheat bread,fndd
农家干酪，4%乳脂，大颗粒,0.0,0.0,4.15,0.0,0.0,0.0,0.0,338.0,0.0,"cottage cheese, 4% milkfat, large curd",foundation
农家干酪，4%乳脂，小粒型,0.0,0.0,4.1899999999999995,0.0,0.0,0.0,0.0,362.0,0.0,"cottage cheese, 4% milkfat, small curd",foundation
冬瓜，煮,36.0,0.4,2.74,2.95,1.0,1.15,0.37,225.0,131.5,"Winter melon, cooked",fndd
冰冻咖啡饮料,68.0,1.56,0.93,13.4,0.0,13.16,0.03,21.0,372.0,Frozen coffee drink,fndd
冰咖啡拿铁,40.0,1.69,0.98,6.09,0.0,5.81,0.02,23.0,372.0,"Coffee, Iced Latte, flavored",fndd
冰咖啡摩卡,50.0,1.58,0.91,8.95,0.0,7.99,0.02,35.0,372.0,"Coffee, Iced Cafe Mocha",fndd
冰咖啡饮品，带奶油,83.0,1.58,2.77,12.89,0.0,12.62,0.02,21.0,372.0,"Frozen coffee drink, with whipped cream",fndd
冰咖啡，预调甜味和预加奶精,31.0,0.25,1.12,4.94,0.0,4.95,0.01,6.0,372.0,"Iced Coffee, pre-lightened and pre-sweetened",fndd
冰山水生菜,0.0,0.7425,0.08,3.36875,0.0,0.0,0.0,13.3,0.0,"Lettuce, iceberg, raw",foundation
冰拿铁咖啡,27.0,1.75,1.01,2.81,0.0,2.51,0.02,23.0,360.0,"Coffee, Iced Latte",fndd
冰棍,79.0,0.0,0.24,19.23,0.0,13.66,0.54,7.0,50.0,Popsicle,fndd
冰棒,79.0,0.0,0.24,19.23,0.0,13.66,0.54,7.0,50.0,Freezer pop,fndd
冰沙饮料,28.0,0.0,0.02,7.68,0.0,7.68,0.0,10.0,660.0,Slush frozen drink,fndd
冰淇淋,221.0,3.57,11.3,26.36,0.8,22.86,0.3,90.0,120.0,"Ice cream, NFS",fndd
冰淇淋 巧克力,251.0,4.72,16.98,19.78,0.9,17.35,1.02,57.0,175.0,"Gelato, chocolate",fndd
冰淇淋 香草,249.0,3.5,16.2,22.29,0.0,20.65,0.34,61.0,175.0,"Gelato, vanilla",fndd
冰淇淋三明治，香草口味,264.0,4.28,11.8,35.88,1.4,25.27,1.07,205.0,75.0,"Ice cream sandwich, vanilla",fndd
冰淇淋圣代,243.0,3.7,11.16,31.94,1.1,23.89,0.36,137.0,180.0,"Ice cream sundae, NFS",fndd
冰淇淋棒，香草味,358.0,2.11,25.26,37.12,1.1,21.05,0.0,84.0,80.0,"Ice cream bar, vanilla",fndd
冰淇淋筒（香草味）,215.0,3.68,10.84,25.82,0.8,20.61,0.23,87.0,125.0,"Ice cream cone, scooped, vanilla",fndd
冰淇淋筒，软冰淇淋，香草味，华夫筒,193.0,4.96,4.77,32.67,0.4,22.33,0.44,87.0,255.0,"Ice cream cone, soft serve, vanilla, waffle cone",fndd
冰淇淋糖果棒,323.0,4.4,20.2,30.9,0.6,30.0,0.72,92.0,50.0,Ice cream candy bar,fndd
冰淇淋苏打水（非巧克力口味）,85.0,0.92,2.9,14.02,0.2,13.4,0.06,31.0,240.0,"Ice cream soda, flavors other than chocolate",fndd
冰淇淋蛋糕,283.0,2.95,12.67,39.28,0.5,31.24,0.48,196.0,34.0,Ice cream cake,fndd
冰淇淋锥，香草味,354.0,5.21,21.88,34.38,1.0,25.0,0.0,94.0,95.0,"Ice cream cone, vanilla, prepackaged",fndd
冰淇淋饼干三明治,317.0,4.61,14.11,43.35,1.7,26.45,1.5,232.0,75.0,Ice cream cookie sandwich,fndd
冰淇淋，非乳制品,159.0,0.87,9.27,18.24,0.1,17.51,0.26,39.0,165.0,"Frozen dessert, non-dairy",fndd
冰滴咖啡,1.0,0.09,0.02,0.0,0.0,0.0,0.01,2.0,360.0,"Iced Coffee, brewed",fndd
冰红茶速溶茶饮料，低糖脱咖啡因版,3.0,0.03,0.0,0.72,0.0,0.02,0.07,7.0,30.0,"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",fndd
冰红茶速溶茶饮，无咖啡因，预加糖,32.0,0.06,0.02,7.89,0.0,7.76,0.01,4.0,31.0,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",fndd
冰红茶（低糖）饮料瓶装,1.0,0.0,0.0,0.22,0.0,0.0,0.0,17.0,360.0,"Tea, iced, bottled, black, diet",fndd
冰红茶（未加糖）,1.0,0.0,0.0,0.3,0.0,0.0,0.02,3.0,360.0,"Tea, iced, brewed, black, unsweetened",fndd
冰红茶（脱咖啡因，预加糖）,32.0,0.0,0.02,7.94,0.0,7.68,0.02,3.0,372.0,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar",fndd
冰红茶（预加糖）,32.0,0.0,0.02,7.94,0.0,7.68,0.02,3.0,372.0,"Tea, iced, brewed, black, pre-sweetened with sugar",fndd
冰红茶，低卡甜味剂预调,2.0,0.0,0.0,0.68,0.0,0.33,0.02,3.0,360.0,"Tea, iced, brewed, black, pre-sweetened with low calorie sweetener",fndd
冰红茶，即溶，预甜，干粉状,401.0,0.12,0.73,98.55,0.7,95.29,0.21,5.0,16.4,"Tea, iced, instant, black, pre-sweetened, dry",fndd
冰红茶，无咖啡因，低卡糖预甜味,2.0,0.0,0.0,0.68,0.0,0.33,0.02,3.0,360.0,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener",fndd
冰红茶，无咖啡因，瓶装,38.0,0.0,0.0,8.75,0.0,7.92,0.0,8.0,372.0,"Tea, iced, bottled, black, decaffeinated",fndd
冰红茶，无糖，脱咖啡因,1.0,0.0,0.0,0.3,0.0,0.0,0.02,3.0,360.0,"Tea, iced, brewed, black, decaffeinated, unsweetened",fndd
冰红茶，无糖，脱咖啡因，瓶装,1.0,0.0,0.0,0.3,0.0,0.0,0.02,3.0,360.0,"Tea, iced, bottled, black, decaffeinated, unsweetened",fndd
冰红茶，瓶装,45.0,0.0,0.22,10.8,0.0,9.49,0.0,3.0,372.0,"Tea, iced, bottled, black",fndd
冰红茶，瓶装，无糖,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,360.0,"Tea, iced, bottled, black, unsweetened",fndd
冰红茶，脱咖啡因，低卡版，瓶装,0.0,0.0,0.0,0.83,0.0,0.0,0.0,4.0,360.0,"Tea, iced, bottled, black, decaffeinated, diet",fndd
冰红茶，速溶，低卡甜味剂预甜黑茶,2.0,0.02,0.0,0.44,0.0,0.01,0.05,6.0,30.0,"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",fndd
冰红茶，速溶，无糖,1.0,0.02,0.0,0.23,0.0,0.01,0.0,4.0,30.0,"Tea, iced, instant, black, unsweetened",fndd
冰红茶，速溶，无糖，干燥剂型,315.0,20.21,0.0,58.66,8.5,5.53,2.26,72.0,0.6,"Tea, iced, instant, black, unsweetened, dry",fndd
冰红茶，速溶，预加糖,30.0,0.01,0.05,7.31,0.1,7.07,0.02,4.0,31.0,"Tea, iced, instant, black, pre-sweetened with sugar",fndd
冰茶/柠檬汁饮料,34.0,0.2,0.05,9.15,0.3,7.2,0.04,12.0,135.0,Iced Tea / Lemonade juice drink,fndd
冰茶/柠檬汽水饮料，低卡版,2.0,0.0,0.0,0.57,0.0,0.0,0.0,4.0,30.0,"Iced Tea / Lemonade juice drink, diet",fndd
冰茶/柠檬汽水饮料，低糖版,21.0,0.22,0.04,6.12,0.3,3.86,0.04,13.0,135.0,"Iced Tea / Lemonade juice drink, light",fndd
冷冻 Daiquiri,127.0,0.07,0.08,17.65,0.0,17.65,0.11,76.0,225.0,Frozen daiquiri,fndd
冷冻100%橙汁（未复原）,148.0,2.4,0.25,35.19,1.0,29.68,0.33,7.0,71.0,"Orange juice, 100%, frozen, not reconstituted",fndd
冷冻华夫饼，原味,309.0,7.42,9.49,48.39,2.6,4.41,6.59,460.0,47.5,"Waffle, plain, frozen",fndd
冷冻巧克力华夫饼,320.0,7.43,10.5,48.94,2.6,6.76,6.38,441.0,47.5,"Waffle, chocolate, frozen",fndd
冷冻晚餐,146.0,6.82,8.4,10.94,1.2,1.35,0.84,268.0,312.0,"Frozen dinner, NFS",fndd
冷冻樱桃,71.0,1.04,0.19,16.16,2.1,13.87,0.11,0.0,75.0,"Cherries, frozen",fndd
冷冻水果华夫饼,296.0,7.07,9.05,46.58,2.6,4.61,6.27,437.0,47.5,"Waffle, fruit, frozen",fndd
冷冻水果松饼,224.0,4.99,6.52,36.47,1.1,8.33,5.4,438.0,60.0,"Pancakes, fruit, frozen",fndd
冷冻洋葱圈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.089999999999996,"ALEXIA, Onion rings, frozen (AL 1) - NFY1206PP",foundation
冷冻浆果,52.0,0.76,0.34,12.47,4.1,6.59,0.55,1.0,112.5,"Berries, frozen",fndd
冷冻浓缩柠檬汁（未复原）,196.0,0.22,0.7,49.89,0.3,44.46,0.09,7.0,145.5,"Lemonade, frozen concentrate, not reconstituted",fndd
冷冻煮熟的豌豆,78.0,5.14,0.27,14.22,4.5,4.39,1.52,188.0,120.0,"Green peas, frozen, cooked, no added fat",fndd
冷冻眉豆（无添加脂肪）,103.0,6.05,0.34,19.26,5.3,1.34,1.82,185.0,90.0,"Lima beans, from frozen, no added fat",fndd
冷冻菠萝,60.0,0.46,0.21,14.09,0.9,11.42,0.05,0.0,75.0,"Pineapple, frozen",fndd
冷冻蓝莓,51.0,0.42,0.64,12.17,2.7,8.45,0.18,1.0,75.0,"Blueberries, frozen",fndd
冷冻蔬菜，煮熟，加油,59.0,2.84,3.24,5.59,2.6,0.76,1.06,150.0,131.5,"Greens, frozen, cooked, fat added",fndd
冷冻蔬菜，煮熟，无添加脂肪,37.0,2.92,0.71,5.75,2.7,0.78,1.09,146.0,127.5,"Greens, frozen, cooked, no added fat",fndd
冷冻薄脆奶酪披萨,263.0,11.91,11.07,28.8,3.0,3.71,2.14,471.0,201.5,"Pizza, cheese, from frozen, thin crust",fndd
冷冻薄饼与香肠套餐,272.0,9.0,13.85,27.92,0.6,9.61,1.72,574.0,170.0,"Pancakes and sausage, frozen meal",fndd
冷冻薯条，炸制,225.0,2.5,14.07,23.23,1.8,0.34,0.53,295.0,8.0,"Potato, french fries, from frozen, fried",fndd
冷冻薯条，烤制法式薯条,158.0,2.75,5.48,25.55,2.0,0.37,0.57,324.0,8.0,"Potato, french fries, from frozen, baked",fndd
冷冻薯饼，烤或炸制均可,237.0,1.9,15.46,24.4,2.3,0.28,0.47,421.0,65.0,"Potato tots, frozen, NS as to fried or baked",fndd
冷冻覆盆子,57.0,1.01,0.19,12.9,6.5,2.68,0.45,0.0,75.0,"Raspberries, frozen",fndd
冷冻豌豆和胡萝卜，煮熟，无添加脂肪,58.0,2.97,0.37,11.06,3.8,4.29,0.97,185.0,120.0,"Peas and carrots, frozen, cooked, no added fat",fndd
冷冻黑莓,64.0,1.18,0.43,15.67,5.0,10.67,0.8,1.0,75.0,"Blackberries, frozen",fndd
冷却葡萄酒,68.0,0.0,0.0,10.07,0.0,9.77,0.03,5.0,135.0,Wine cooler,fndd
冻咖啡摩卡饮料,66.0,1.51,0.88,13.07,0.0,12.17,0.02,34.0,372.0,Frozen mocha coffee drink,fndd
冻咖啡摩卡饮料，脱因,67.0,1.51,0.89,13.13,0.0,12.23,0.02,34.0,372.0,"Frozen mocha coffee drink, decaffeinated",fndd
冻咖啡摩卡饮料，脱因，脱脂,59.0,1.54,0.08,13.14,0.0,12.3,0.02,35.0,372.0,"Frozen mocha coffee drink, decaffeinated, nonfat",fndd
冻咖啡摩卡，含植物奶和奶油,73.0,0.6,2.54,11.79,0.0,10.47,0.16,38.0,372.0,"Frozen mocha coffee drink, with non-dairy milk and whipped cream",fndd
冻咖啡饮品,67.5,0.5800000000000001,1.7200000000000002,12.295,0.0,11.595,0.165,26.0,372.0,"Frozen coffee drink, with non-dairy milk",fndd
冻咖啡饮品，无咖啡因，带奶油,83.0,1.58,2.78,12.95,0.0,12.68,0.02,21.0,372.0,"Frozen coffee drink, decaffeinated, with whipped cream",fndd
冻咖啡饮品，脱咖啡因，含植物奶和奶油,80.0,1.26,2.59,12.94,0.1,12.12,0.21,25.0,372.0,"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",fndd
冻咖啡饮品，脱因，脱脂，带奶油,76.0,1.62,1.99,12.96,0.0,12.75,0.02,22.0,372.0,"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",fndd
冻咖啡饮料 去咖啡因 脱脂,61.0,1.59,0.1,13.47,0.0,13.3,0.02,22.0,372.0,"Frozen coffee drink, decaffeinated, nonfat",fndd
冻咖啡饮料 脱咖啡因 配植脂奶,70.0,1.58,1.0,13.61,0.0,13.06,0.26,18.0,372.0,"Frozen coffee drink, decaffeinated, with non-dairy milk",fndd
冻咖啡饮料，脱咖啡因,68.0,1.56,0.94,13.46,0.0,13.23,0.02,21.0,372.0,"Frozen coffee drink, decaffeinated",fndd
冻咖啡饮料，脱脂,61.0,1.59,0.1,13.41,0.0,13.23,0.03,22.0,372.0,"Frozen coffee drink, nonfat",fndd
冻咖啡饮料，脱脂，带奶油,76.0,1.61,1.98,12.9,0.0,12.69,0.02,22.0,372.0,"Frozen coffee drink, nonfat, with whipped cream",fndd
冻干桃子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Peaches,  Region 4, Freeze Dried- Carotenoids - NFY0103MO",foundation
冻摩卡咖啡饮品，带奶油,81.0,1.54,2.67,12.59,0.0,11.69,0.02,33.0,372.0,"Frozen mocha coffee drink, with whipped cream",fndd
冻摩卡咖啡饮料,58.0,0.52,0.75,12.22,0.0,10.88,0.16,39.0,372.0,"Frozen mocha coffee drink, with non-dairy milk",fndd
冻摩卡咖啡饮料 去咖啡因 无脂 带奶油,74.0,1.57,1.91,12.65,0.0,11.81,0.02,34.0,372.0,"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",fndd
冻摩卡咖啡饮料，无咖啡因，含植物奶,58.0,0.52,0.76,12.28,0.0,10.93,0.16,39.0,372.0,"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",fndd
冻摩卡咖啡饮料，无咖啡因，含植物奶和奶油,73.0,0.6,2.56,11.84,0.0,10.52,0.16,38.0,372.0,"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",fndd
冻摩卡咖啡饮料，无脂，带奶油,74.0,1.56,1.91,12.6,0.0,11.76,0.02,34.0,372.0,"Frozen mocha coffee drink, nonfat, with whipped cream",fndd
冻摩卡咖啡饮料，脱脂,59.0,1.54,0.08,13.08,0.0,12.24,0.02,35.0,372.0,"Frozen mocha coffee drink, nonfat",fndd
冻摩卡咖啡饮，无咖啡因，带奶油,81.0,1.54,2.68,12.64,0.0,11.74,0.02,33.0,372.0,"Frozen mocha coffee drink, decaffeinated, with whipped cream",fndd
冻果汁条,106.0,0.81,0.06,25.4,0.5,22.6,0.32,6.0,80.0,Frozen fruit juice bar,fndd
冻果汁条，无糖添加,30.0,0.12,0.01,7.35,0.1,3.12,0.62,9.0,80.0,"Frozen fruit juice bar, no sugar added",fndd
冻桃,46.0,0.91,0.27,10.1,1.5,8.39,0.34,13.0,75.0,"Peach, frozen",fndd
冻瓜果,35.0,0.66,0.16,8.27,0.7,7.4,0.26,16.0,112.5,"Melon, frozen",fndd
冻秋葵，熟，无添加脂肪,29.0,1.62,0.24,6.39,2.1,2.86,0.52,119.0,93.0,"Okra, frozen, cooked, no added fat",fndd
冻羽衣甘蓝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,"KALE, FROZEN, AS PURCHASED",foundation
冻芒果,60.0,0.82,0.38,14.98,1.6,13.66,0.16,1.0,75.0,"Mango, frozen",fndd
冻草莓,35.0,0.43,0.11,9.13,2.1,4.56,0.75,2.0,75.0,"Strawberries, frozen",fndd
冻菠菜，熟，无添加脂肪,19.0,2.26,0.25,3.1,2.8,0.32,1.12,141.0,124.0,"Mustard greens, frozen, cooked, no added fat",fndd
冻豌豆，煮熟，加脂肪,98.0,4.99,2.81,13.81,4.4,4.26,1.47,191.0,124.0,"Green peas, frozen, cooked, fat added, NS as to fat type",fndd
准备好的黄色芥末，其他品牌，MO - NFY020Z0S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.2,"Prepared Yellow Mustard, Other Brand, MO - NFY020Z0S",foundation
凉拌卷心菜,117.0,0.94,7.98,10.45,1.9,7.44,0.14,280.0,130.0,Coleslaw,fndd
减肥可乐软饮料，水果或香草味,2.0,0.11,0.03,0.29,0.0,0.0,0.11,8.0,360.0,"Soft drink, cola, fruit or vanilla flavored, diet",fndd
减脂奶酪通心粉/面条混合装,131.0,4.57,4.82,17.28,0.6,2.11,0.44,172.0,230.0,"Macaroni or noodles with cheese, made from reduced fat packaged mix",fndd
减脂帕斯特玛尼肉片,115.0,18.62,3.69,0.64,0.0,0.29,2.05,853.0,56.0,"Pastrami, made from any kind of meat, reduced fat",fndd
减脂意大利辣香肠,378.0,21.07,31.65,0.72,0.0,0.26,1.36,1756.0,98.0,"Pepperoni, reduced fat",fndd
减脂松饼,264.0,7.57,9.74,36.1,2.2,7.2,1.48,519.0,35.0,"Pancakes, plain, reduced fat",fndd
减脂热狗,216.0,13.75,15.66,5.1,0.0,0.0,1.17,615.0,57.0,"Hot dog, reduced fat",fndd
减脂花生酱,520.0,25.9,34.0,35.65,5.2,9.28,1.9,540.0,24.0,"Peanut butter, reduced fat",fndd
减脂花生酱三明治（白面包）,355.0,15.16,14.17,44.49,3.3,6.71,2.85,481.0,92.0,"Peanut butter sandwich, with reduced fat peanut butter, on white bread",fndd
减脂花生酱果酱三明治（白面包）,339.0,12.48,11.64,49.03,2.9,14.66,2.38,401.0,112.0,"Peanut butter and jelly sandwich, with reduced fat peanut butter, on white bread",fndd
减脂调味玉米片,411.0,10.86,5.63,79.07,5.2,0.84,1.58,511.0,30.0,"Tortilla chips, reduced fat, flavored",fndd
减钠罐装炒豆泥,89.0,4.98,2.01,13.55,3.7,0.54,1.44,138.0,195.0,"Refried beans, from canned, reduced sodium",fndd
凯撒沙拉酱，清淡,110.0,0.3,4.4,18.6,0.1,16.32,0.18,1148.0,44.0,"Caesar dressing, light",fndd
凯撒沙拉，罗马生菜，无酱料,77.0,4.0,3.41,7.49,1.8,1.23,0.4,238.0,79.0,"Caesar salad, with romaine, no dressing",fndd
凯撒花园沙拉鸡或火鸡生菜番茄奶酪无酱,63.0,8.52,1.94,2.99,1.0,0.99,0.42,265.0,286.0,"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",fndd
凯撒酱,542.0,2.17,57.85,3.3,0.5,2.81,1.08,1209.0,44.0,Caesar dressing,fndd
凯撒酱，脱脂,131.0,1.47,0.23,30.73,0.2,8.82,0.29,1265.0,42.5,"Caesar dressing, fat free",fndd
凯普科德,98.0,0.0,0.08,10.18,0.0,8.94,0.08,2.0,225.0,Cape Cod,fndd
切碎煮过的调味蔬菜基底,41.0,1.02,0.19,9.06,2.2,4.09,0.16,51.0,0.0,"Mirepoix, cooked, as ingredient",fndd
切碎自然辣味切达奶酪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Pantothenic Acid, Cheese, cheddar, natural shredded sharp, store brand, sKROGER (CA2,KY,TX) - NFY120WUS",foundation
切达奶酪,348.0,25.3,32.665,3.01,0.0,0.6466666666666667,0.3625,591.4,58.07000000000001,"Cheese, cheddar",foundation
切达奶酪切片,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Cheddar cheese, sliced, TILLAMOOK (CO,CA1) - NFY120D9B",foundation
切达奶酪块,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cheese, cheddar, mild, block/chunk, store brand  (PA, CA2, IA) -  CY121H4",foundation
切达奶酪块状,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cheese, cheddar, mild, block/chunk KRAFT (VA) NFY120XCB",foundation
切达奶酪片,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.000000000000004,"Cheddar cheese, sliced, SARGENTO NATURAL SHARP CHEDDAR DELI STYLE (CA1) - NFY120D3F",foundation
利口酒,279.0,0.0,0.11,33.2,0.0,33.27,0.04,1.0,45.0,Liqueur,fndd
利马豆，罐头装,122.0,5.86,2.86,18.62,5.1,1.3,1.76,373.0,92.0,"Lima beans, from canned",fndd
刺果番荔枝，蜜汁口味,59.0,0.11,0.17,14.93,0.1,13.07,0.36,8.0,31.0,"Soursop, nectar",fndd
剑鱼,231.0,21.89,11.82,7.79,0.3,0.14,0.98,348.0,137.5,"Fish, swordfish",fndd
加州卷寿司,94.0,2.92,0.67,18.39,1.0,2.13,0.21,428.0,150.0,"Sushi roll, California",fndd
加钠白豆罐头,0.0,0.0,1.24,0.0,0.0,0.0,1.455,249.0,0.0,"beans, great northern, canned, sodium added",foundation
加钠罐装鹰嘴豆/鹰豆/鸡豆,0.0,0.0,3.045,0.0,0.0,0.0,1.045,209.0,0.0,"beans, chick peas/garbanzos, canned, sodium added",foundation
加钠黑豆罐头,0.0,0.0,1.23,0.0,0.0,0.0,1.62,246.0,0.0,"beans, black, canned, sodium added",foundation
动物油脂,841.0,2.23,92.18,0.0,0.0,0.0,0.23,604.0,12.0,Animal fat or drippings,fndd
包子皮,273.0,11.17,7.58,39.78,1.2,5.86,2.86,354.0,100.0,Bao bun,fndd
北京鸭,154.0,5.32,11.76,6.47,0.3,4.41,0.79,287.0,85.0,"Duck, Peking",fndd
北极鳕鱼（生）,0.0,0.0,0.42266666666666663,0.0,0.0,0.0,0.0,0.0,0.0,"Proximates, Pollock, raw (OK) - NFY060DM7",foundation
千岛酱,379.0,1.09,35.06,14.64,0.8,15.18,1.18,962.0,44.0,Thousand Island dressing,fndd
千岛酱（低脂）,132.0,0.55,1.45,29.27,3.3,16.83,0.28,788.0,44.0,"Thousand Island dressing, fat free",fndd
千岛酱（轻盈版）,195.0,0.83,11.32,24.06,1.2,17.31,0.9,955.0,44.0,"Thousand Island dressing, light",fndd
午餐肉,175.5,18.025,10.540000000000001,1.51,0.0,0.0,0.7033333333333333,955.5,73.5,"Chicken, canned, meat only",fndd
华夫饼,309.0,7.42,9.49,48.39,2.6,4.41,6.59,460.0,57.5,"Waffle, NFS",fndd
华夫饼，低脂,292.0,9.72,7.35,46.75,1.5,3.68,3.31,505.0,47.5,"Waffle, plain, reduced fat",fndd
华夫饼，原味,373.0,8.7,18.82,41.5,2.5,8.28,1.72,597.0,57.5,"Waffle, plain",fndd
南瓜子,574.0,29.87395,44.54,16.69255,5.7895,1.29,8.2165,18.0,37.175,"Seeds, pumpkin seeds (pepitas), raw",foundation
南瓜子（无盐）,574.0,29.84,49.05,14.71,6.5,1.29,8.07,18.0,37.175,"Pumpkin seeds, unsalted",fndd
南瓜子，咸味,567.0,29.49,48.47,14.54,6.4,1.27,7.97,477.0,37.175,"Pumpkin seeds, salted",fndd
南瓜汤,72.0,1.1,4.7,6.86,1.5,2.07,0.74,241.0,342.5,"Soup, pumpkin",fndd
南瓜派,249.0,4.76,9.78,36.34,1.7,24.55,1.24,252.0,150.0,"Pie, pumpkin",fndd
南瓜煎饼,241.0,6.37,10.08,30.95,2.3,6.51,1.48,423.0,35.0,"Pancakes, pumpkin",fndd
南瓜蛋糕,373.0,2.5,17.51,51.58,1.1,38.35,1.02,280.0,160.0,"Cake or cupcake, pumpkin",fndd
南瓜面包,305.0,4.97,12.93,43.21,1.4,22.59,2.15,285.0,60.0,"Bread, pumpkin",fndd
南瓜马芬,305.0,4.97,12.93,43.21,1.4,22.59,2.15,285.0,100.0,"Muffin, pumpkin",fndd
南瓜，加油烹制,59.0,0.87,2.88,8.57,2.7,3.2,0.43,122.0,172.5,"Winter squash, cooked, fat added",fndd
南瓜，去皮去籽，生食,0.0,0.854375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Squash, pie pumpkin, peeled, seeded, raw",foundation
南瓜，熟制,52.0,1.05,2.84,6.77,0.5,2.88,0.84,131.0,230.0,"Pumpkin, cooked",fndd
南瓜，生,26.0,1.0,0.1,6.5,0.5,2.76,0.8,1.0,105.0,"Winter squash, raw",fndd
南瓜，生，黄色,0.0,0.0,0.135,0.0,0.995,0.0,0.132,0.0,0.0,"Squash, yellow, raw",foundation
南瓜，黄油南瓜，生的,0.0,0.0,0.17,0.0,1.935,0.0,0.266,0.0,0.0,"Squash, butternut, raw",foundation
博斯克梨,0.0,0.0,0.11,0.0,2.9,0.0,0.105,2.0,0.0,"Pears, Bosc, AR1, NFY0000LW",foundation
卡布奇诺,27.0,1.71,0.99,2.75,0.0,2.46,0.02,23.0,360.0,"Coffee, Cappuccino",fndd
卡普奇诺，奶酪，素食,389.0,17.59,22.51,29.49,1.3,0.36,2.12,672.0,265.0,"Calzone, with cheese, meatless",fndd
卡芒贝尔奶酪,300.0,19.8,24.26,0.46,0.0,0.46,0.33,842.0,29.5,"Cheese, Camembert",fndd
卡里奥卡干豆,0.0,25.2,1.52,0.0,4.7,0.0,0.0,0.0,0.0,"Beans, Dry, Carioca, 11F-8001 (0% moisture)",foundation
卡里奥卡豆,0.0,24.8,1.43,0.0,4.4,0.0,5.1,0.0,0.0,"Beans, Dry, Carioca, 622 (0% moisture)",foundation
印度炸蔬菜饼,125.0,4.92,4.77,16.24,3.2,2.97,1.12,380.0,30.0,Pakora,fndd
印度蒸糕,128.0,6.36,0.35,24.98,5.8,1.85,0.89,252.0,38.0,Idli,fndd
即溶无糖冰镇脱咖啡因红茶,1.0,0.06,0.0,0.17,0.0,0.02,0.01,4.0,30.0,"Tea, iced, instant, black, decaffeinated, unsweetened",fndd
即食水果燕麦片，无额外添加脂肪,100.0,2.34,1.19,20.09,1.9,8.32,2.62,131.0,190.0,"Oatmeal, instant, fruit flavored, no added fat",fndd
即食燕麦片（无额外脂肪，用水冲泡）,68.0,2.26,1.3,13.15,1.9,0.28,4.68,45.0,190.0,"Oatmeal, instant, plain, made with water, no added fat",fndd
即食燕麦片，加牛奶、脂肪版,129.0,4.81,5.4,16.52,1.8,4.11,4.53,90.0,190.0,"Oatmeal, instant, plain, made with milk, fat added",fndd
