description_en,description_zh
"""""ORIGINAL"""" MOOSE TRACKS VANILLA FLAVORED ICE CREAM WITH PEANUT BUTTER CUPS, SWIRLED WITH FAMOUS MOOSE TRACKS FUDGE, """"ORIGINAL"""" MOOSE TRACKS","香草味MOOSE TRACKS冰淇淋配花生酱杯，螺旋加入著名MOOSE TRACKS巧克力酱,""ORIGINAL"" MOOSE TRACKS"
"""""ORIGINAL"""" MOOSE TRACKS VANILLA FROZEN YOGURT WITH PEANUT BUTTER CUPS AND MOOSE TRACKS FUDGE, """"ORIGINAL"""" MOOSE TRACKS","香草 Moose Tracks 冻酸奶配花生酱杯和 Moose Tracks 巧克力酱,""ORIGINAL"" Moose Tracks"
"""""ORIGINAL"""" MOOSE TRACKS VANILLA ICE CREAM WITH PEANUT BUTTER CUPS AND FAMOUS MOOSE TRACKS FUDGE, """"ORIGINAL"""" MOOSE TRACKS","原味驼迹香草冰淇淋配花生杯和著名驼迹软糖, “ORIGINAL” MOOSE TRACKS"
"""""ORIGINAL"""" MOOSE TRACKS VANILLA ICE CREAM WITH PEANUT BUTTER CUPS AND MOOSE TRACKS FUDGE, """"ORIGINAL"""" MOOSE TRACKS",原味MOOSE TRACKS香草冰淇淋配花生酱杯和MOOSE TRACKS软糖
"""""ORIGINAL"""" MOOSE TRACKS VANILLA-FLAVORED ICE CREAM WITH PEANUT BUTTER CUPS SWIRLED WITH FAMOUS MOOSE TRACKS FUDGE ICE CREAM, """"ORIGINAL"""" MOOSE TRACKS","原味MOOSE TRACKS香草味冰淇淋配花生酱杯及MOOSE TRACKS著名巧克力冰淇淋漩涡,""ORIGINAL"" MOOSE TRACKS"
"""""PEPP,SLCD,1.75""""DIA,2 BAGS,GF,10#NT,Z""""",辣椒片，平底锅烤，直径1.75英寸，2袋，无麸质，10号锌合金包装
"""""PIC,BNLS,CUSH MT,VP,FL,4-4PC OR 4-5PC""""",披萨饼块，去骨，起司山，蔬菜酱，4-4块或4-5块装
"""""PIC,MT,75,BNLS,SHLDR,P/L,WAX-FREE,60#""""",蜜汁烤猪肉脯肩肉排片 PICMT75BNLSSHLDRP/LWAX-FREE60#
"""""PK,SMKD,PULLED,GM,2/5#,Z""""","烟熏手撕猪肉脯,PK品牌,五分之二号规格,孜然味"
"""""RACK-OF-PK,ET12,UNSEAS,2-1PC,Z""""",烤猪排，未腌制，2片装
"""""RANCH"""" SNACKABLE EGGS & CRUNCHY DIP, """"RANCH",牧场风味小吃鸡蛋与酥脆蘸酱
"""""RST,HAM,BNLS,NTD,SM,3PC,Z""""",红烧火腿卷心肉排，3片装，真空包装
"""""RST,LN,PK,APL CIN,PRECKD,FL,2PC,Z""""",苹果肉桂派（预烤），流心，2件装
"""""SAUS,LK,FC,EF,20:1,2/10#,Z""""","香肠,LK,鲜鸡肉,电子烟熏,20:1,2/10#,Z口味"
"""""SAUS,LK,MILD ITAL,FL,4:1,10#,Z""""","意大利辣香肠风味肉酱,SAUS,LK,MILD ITAL,FL,4:1,10#,Z口味"
"""""SAUS,PTY,FC,TKY,EF,1.47 OZ,CN,10#,Z""""",鸡肉味圆形面包糠香肠，1.47盎司，编号10#，Z加工-CN规格-EF品牌
"""""SAUS,PTY,WH HG,DIXIE SKLT,1.5OZ,10#,Z""""","-SAUS,PTY,WH HG,DIXIE SKLT,1.5OZ,10#,Z-

白胡椒味迪克西烤肉酱,1.5盎司装"
"""""SAUS,SMKD,SPLIT,2/6#,Z""""",香肠，烟熏，去骨，2/6号，Z型加工
"""""SBERRY FIELDS"""" CREATIVELY CLEAN COTTON CANDY, """"SBERRY FIELDS""""","SBERRY FIELDS创意清洁棉花糖, ""SBERRY FIELDS"""
"""""SEASON DIPPER"""" CRACKLINS, """"SEASON DIPPER""""","""季风""猪皮渣(""SEASON DIPPER"" CRACKLINS)"
"""""SMOKIN HOT"""" GOURMET SAUCE, """"SMOKIN HOT""""","""SMOKIN HOT""烧烤酱,""SMOKIN HOT""口味"
"""""SMOKY"""" MEDIUM ROASTED SALSA, """"SMOKY""""","烟熏中等烘焙莎莎酱,""SMOKY"""
"""""SOUTHERN"""" BUTTERMILK BISCUITS, """"SOUTHERN"""" BUTTERMILK",南方黄油牛奶饼干，南方黄油牛奶
"""""SPICY JAPANESE PEANUTS, SEASONED PEANUTS, WASABI PEAS, HONEY SESAME STICKS, GARLIC WONTONS, DRY ROASTED EDAMAME, ASIAN MIX, SPICY",辣味日本花生、调味花生、芥末豌豆、蜂蜜芝麻棒、蒜香馄饨、干烤毛豆、亚洲混合辣味零食
"""""SRLN,BNLS,ET12,FL,VP,6-4PC""""",斯瑞恩贝尼斯鸡柳条，真空包装，6-4片装
"""""ST. LOUIS STYLE"""" BBQ RIB RUB, """"ST. LOUIS STYLE""""",圣路易斯风味烤肋排调味料
"""""SUPER"""" BEEF BURGERS, BEEF",超级牛肉汉堡，牛肉口味
"""""SWEET 'N SASSY"""" HOT PEPPERS & ONIONS IN SAUCE, """"SWEET 'N SASSY""""",甜辣味酱料辣椒洋葱，“甜辣风味”
"""""SWEET AND SMOKY BARBECUE SAUCE, SWEET AND SMOKY",甜烟熏烧烤酱Sweet and Smoky口味
"""""SWEET"""" ITALIAN DRESSING",甜味意大利酱
"""""THE CATTLE CALL"""" WINNING BEEF SEASONING","""The Cattle Call"" 赢家牛肉调味料"
"""""THE CRAB CHIP"""" POTATO CHIPS WITH CHESAPEAKE BAY CRAB SEASONING, CHESAPEAKE BAY CRAB SEASONING",蟹味薯片（THE CRAB CHIP）调味料：切萨皮克湾蟹味调料
"""""THE ORIGINAL FRUIT TEA"""", ORIGINAL","原味水果茶(""THE ORIGINAL FRUIT TEA"")"
"""""THE ORIGINAL"""" RED VELVET 3-LAYER CAKE","红丝绒三层蛋糕""The Original"""
"""""THE TEXAN"""" ROASTED SALSA, """"THE TEXAN""""","""德州人""烤莎莎酱"
"""""TOMATO"""" PORK BANGERS, TOMATO",番茄猪肉香肠，番茄口味
"""""TWO JOE'S SAUCES"""", TANGY BBQ",Two Joe's Sauces辣味烧烤酱
"""""ULTIMATE STEAKHOUSE"""" BURGER SEASONING","""终极牛排馆""汉堡调味料"
"""""ULTIMATE STEAKHOUSE"""" GRILLING SEASONING","""终极牛排馆""烤制调味料"
"""""VANILLA HAZE"""" COTTON CANDY, """"VANILLA HAZE""""","香草雾棉花糖，""VANILLA HAZE""口味"
"""""WHOLE CHEESE!"""" CRISPY BAKED CRACKERS, MILD CHEDDAR",全脂干酪！脆烤饼干，温和切达口味
"""""WHOLEY CHEESE!"""" CRISPY BAKED CRACKERS",全脂奶酪！脆烤饼干
"""""WORLD'S BEST"""" MAC & CHEESE","""世界最佳"" 奶酪通心粉"
"""ALLA NORMA"" WITH EGGPLANT & RICOTTA SALATA",茄子与瑞科塔萨拉特奶酪阿辣诺玛意面
"""BACN,BITS,FC,FINE,FL,2/5#""",脆皮熏肉粒风味炸鸡块(2/5#)
"""BACN,CAND,FL,4PC, Z""",腌熏猪肉糖衣甜甜圈，4件装，Z品牌
"""BACN,CHIPS,DICED,FC,FL,2/5#""","切片培根薯片,风干,2.5磅装"
"""BACN,DICED,RDY TO COOK,3/10#,Z""",熟肉培根丁
"""BACN,HRI,DBLSMK,GM,14/18,GF,15#,Z""",培根汉堡肉饼，双份熏烤，大麦，14至18片，无麸质，15号规格，Z口味
"""BACN,HRI,DBLSMK,GM,18/22,GF,15#,Z""",培根，烤火鸡，双层烟熏，黄金牧场，规格18/22，无麸质，15号，Z口味
"""BACN,HRI,DBLSMK,SM,14/18,30#,Z""","培根,火鸡,双熏,辣味,14/18,30#,Z椒麻味"
"""BACN,HRI,NW-SM,14/18,GF,15#""","培根,烤,西北风味,14/18规格,无麸质,15号批次"
"""BACN,HRI,SM,18/22,15#,Z""","红烧肉,巴恩,希尔,18/22,15#,Z口味"
"""BACN,HRI,SM,FL,14/18,10#,Z""","烟熏培根片,14/18英寸,10号切片,HRI品牌,辣味,平底加工"
"""BACN,PIECES,FC,FL,2/5#""","熟腊肉块,分割,油炸,冷冻,2/5磅"
"""BACN,SLAB,FL,11/13 DRIN,2PC,Z""","烟熏培根厚片,11/13湿度,2片装,Z口味"
"""BACN,SLAB,SLCD,MR,10/14,30#,Z""","腌五花肉,厚片,去骨,梅花肉,10/14英寸,30磅,Z味"
"""BACN,SLAB,SLCD,MR,14/18,30#,Z""","腌五花肉厚片,14/18英寸,30号,Z品牌"
"""BACN,SLAB,SLCD,MR,18/22,30#,Z""","烟熏厚片培根肉块，Z口味MR品牌18/22, 30#规格"
"""BACN,SLCD,SMKD,BULK,10#,Z""",烟熏培根块，批量，10号规格，Z口味
"""BACN,SS,BM,18/22,15#,Z""",烟熏培根片，SS品牌，BM加工，规格18/22，15号，Z口味
"""BACN,SS,NW-SM,14/18,15#""",烟熏培根，NW-SM口味，14/18厚度，15号规格
"""BACN,SS,SM,14/18,15#,Z""",烟熏培根片，14/18规格，15号切割，Z味
"""BACN,SS,SM,22/26,15#,Z""",培根 香煎烟熏味 大片装
"""BEEF,GRND,CHUCK,PTY,20/8OZ,FBAB-GM,10#,Z""",牛肉馅，Chuck部位，20/8盎司，烧烤调味，10号，Z加工
"""BEEF,GRND,CHUCK,PTY,27/6OZ,FBAB-GM,10#,Z""",牛肉块，Chuck部位，塑封，27/6盎司，GM品牌，编号10#，Z加工
"""BEEF,GRND,CHUCK,PTY,30/5.33OZ,FBAB-GM,10""",牛肉碎， Chuck部位， 30/5.33盎司，FBAB-GM品牌加工
"""BEEF,GRND,CHUCK,PTY,40/4OZ,FBAB-GM,10#,Z""",牛肉碎， Chuck部位，40/4盎司，烧烤风味，10号规格
"""BEEF,GRND,PTY,27/6OZ,FBAB-SM,10#,Z""",牛肉馅，27%脂肪，6盎司，小包装，编号10#，Z加工
"""BEEF,GRND,PTY,30/5.33OZ,FBAB-SM,10#,Z""",牛肉碎，烧烤味，5.33盎司装
"""BEEF,GRND,PTY,40/4OZ,FBAB-SM,10#,Z""",牛肉饼，平底锅烤，40/4盎司，FBAB-SM，10#，Z口味
"""BEER"" CAN CHICKEN RUB",啤酒罐鸡肉调味粉
"""BKRIB,PK,LN,RC,MEATY,IB,12PC,Z""",肉味烤鸡柳12片装BKRB版
"""BKRIB,PK,LN,RC,MEATY,SKLS,IB,12PC,Z""",肉味炸鸡翅12件装-Z格调BKRIB版
"""BUTTER"" FINGER PEANUT BUTTER BAR, ""BUTTER"" FINGER PEANUT BUTTER",花生黄油手指饼干棒，花生黄油.Butter Finger
"""C"" LOAF",肉桂面包
"""CAPE COD STYLE"" SEAFOOD SEASONING, ""CAPE COD STYLE""","鳕鱼角风味海鲜调味料,""CAPE COD STYLE"""
"""CAROLINA STYLE"" BBQ SEASONING, ""CAROLINA STYLE"" BBQ","卡罗来纳风格烤肉调味料, 卡罗来纳风格烤肉"
"""CHEEZY"" DILL",芝士莳萝口味
"""CHOP,BI,CC,GM,6OZ,10#,Z""",牛肉块，比翼，卡真，通用磨坊，六盎司，十号，Z口味
"""CHOP,BI,CC,GM,ET12,4OZ,10#,Z""","酱烤猪排(CHOP),蜜汁(BI),脆皮(CC),甘美(GM),特选(ET12),四盎司(4OZ),十号(10#),Z口味"
"""CHOP,BI,CC,GM,ET12,5OZ,10#,Z""",Chop Bi牌五盎司烤鸡胸肉切片CC味GM加工ET12型10号包装Z规格
"""CHOP,BI,CC,PHSE,GM,ET12,12OZ,10#,Z""",辣椒炒饭，比克，可口可乐，花生，甜玉米，ET12，12盎司，10号，Z口味
"""CHOP,BI,CC,SM,ET12,4OZ,10#,Z""","Chop suey Beef Chinese style, extra tender, 4 oz, Brand Z"
"""CHOP,BI,CC,SM,ET12,5OZ,10#,Z""","酱烤猪排(CHOP),蜜汁(BI),柠檬草(CC),烧烤(SM),特选(ET12),5盎司(5OZ),10号(Z)"
"""CHOP,BI,CC,SM,ET12,6OZ,10#,Z""",Chop Bi牌炭烤鸡胸肉 ET12口味 6盎司包装
"""CHOP,BI,CC,SM,ET12,8OZ,10#,Z""",碎牛肉饼，烤味，冷藏熟食，8盎司包装
"""CHOP,PK,BI,EC,BM,.5"",10#,Z""","排骨,烤,蜜汁,经济型,必胜客,0.5英寸,10片装"
"""CHOP,PK,BNLS,GM,ET12,4OZ,10#,Z""",排骨块，去皮，去骨，甘蓝，12小时熟成，4盎司，10号包装，Z口味
"""CHOP,PK,BNLS,GM,ET12,6OZ,10#,Z""",鸡块，去骨，玉米饼包裹，12件装，6盎司，10号包装，Z口味
"""CHOP,PK,BNLS,MISCUTS,10#,Z""",猪肉切块，去骨，去筋，杂切，10号，Z口味
"""CHOP,PK,BNLS,SM,ET20,4OZ,10#,Z""",酱猪排块，去骨，烧烤味，ET20，4盎司，10块，Z规格
"""CRAB CHIP"" POTATO CHIPS",蟹肉味薯片
"""CRUNCH"" LEMON MERINGUE CRISP LEMON NON-FAT GREEK YOGURT WITH CITRUS WHITE CHOCOLATE AND LEMON COOKIES","柠檬蛋白酥脆柠檬无脂希腊酸奶配柑橘白巧克力和柠檬饼干""CRUNCH""版"
"""CRUNCH"" MIXED BERRY CRUMBLE NON-FAT GREEK YOGURT WITH BROWN SUGAR CRUMBLE, ROASTED ALMONDS AND DRIED CRANBERRIES","混合莓果碎希腊酸奶（无脂）配红糖碎、烤杏仁和干蔓越莓""CRUNCH""版"
"""DARN GOOD"" CHILI MIX","""DARN GOOD"" 辣椒混合料"
"""DARN GOOD"" CHILI SOUP BOWL, ""DARN GOOD"" CHILI","""DARN GOOD"" 辣椒汤碗,""DARN GOOD"" 辣椒"
"""DARN GOOD"" CHILI SOUP MIX","""达恩好""辣椒汤料"
"""DARN GOOD"" CHILI SOUP MIX, ""DARN GOOD"" CHILI","""DARN GOOD"" 辣椒汤料,""DARN GOOD"" 辣椒酱"
"""DARN GOOD"" DELICIOUS CLASSIC CHILI MADE WITH THREE TYPES OF BEANS AND A BLEND OF SPICES SOUP MIX, DARN GOOD CHILI","“DARN GOOD”美味经典三豆辣汤混合料,辣味浓汤"
"""EUROPEAN STYLE"" FRESH, RICH & SILKY BUTTER, ""EUROPEAN STYLE""","欧洲风格新鲜浓郁丝滑黄油,""EUROPEAN STYLE"""
"""EVERYTHING SNACKABLE EGGS & CRISPY DIP, ""EVERYTHING","全味可零食鸡蛋与脆片蘸酱,""EVERYTHING""口味"
"""FLIP"" LOW FAT GREEK YOGURT",低脂希腊酸奶（FLIP）
"""FRIED RICE"" BOWL",炒饭碗
"""FRIED RICE"" CAULIFLOWER CRUMBLES CHOPPED CAULIFLOWER, CARROTS, CELERY, ONION & BROCCOLI IN A SWEET TERIYAKI SAUCE WITH GARLIC-GINGER WONTON STRIPS VEGGIE BOWL, CAULIFLOWER CRUMBLES",炒饭花菜碎混合蔬菜碗，花菜碎
"""FRIED RICE"" PROTEIN PACK",炒饭蛋白包
"""HAM,CKD,95WA,PD,4X6,4/13#""","火腿,熟食,95%水分,切片,4x6英寸,4片装编号13"
"""HAM,CKD,96WA,CTRY LEAN,4X6,4/13#""","火腿,熟食,96%瘦肉,切块,4x6,4/13#口味"
"""HAM,H&W,CKD,FL,4X6,4/13#""",汉姆熟火腿，H&W品牌，分切，熏烤味，4x6规格，4/13重量号
"""HAM,H&W30,SMKD,96FF,GM,10/12#,2PC""",哈密尔顿与韦伯斯特30克火腿，熏制，96自由脂肪酸，去骨，10至12号，2片装
"""HAM,SMKD,BNLS,NJ,CLASSIC CURE,9/11#,2PC""",烟熏去骨火腿，经典腌制，9/11号，两片装
"""HAM,SMKD,BNLS,NJ,WH,AMER HEARTLAND,2PC""",美式心地区烟熏去骨火腿，2片装
"""HAM,SMKD,BNLS,WA,DELUXE LEAN,12/15#,2PC""","熟火腿,烟熏,去骨,华盛顿,豪华瘦,12/15号,2片装"
"""HAM,SMKD,BNLS,WA,DNR,SM,10/15#,2PC""",烟熏去骨火鸡火腿，丹尼尔品牌，中片，2片装
"""HAM,SMKD,BNLS,WA,RND,BKFST,SM,9/14#,2PC""","火腿,烟熏,去骨,水牛肉,圆片,早餐,小型,9/14号,两片装"
"""HAM,SMKD,CUBED,WA,3/8""CUBES,2/5#,Z""","火腿,烟熏,方块,水牛肉,3/8英寸方块,2/5磅,Z型号"
"""HAM,SMKD,FS,SH,2PC""",烟熏火腿片，2片装
"""HAM,SMKD,HKRY,NJ,PRESLCD,SMKHS RES,6PC""",港式熏火腿，腌制，6件装
"""HAM,SMKD,PIT,SH,2PC""","烟熏烤火腿,2片装"
"""HAM,SMKD,PIT,WH,LEAN,FL,8/12#,2PC""",烟熏火腿片，去皮去肥，8/12号，2片装
"""HAM,SPRL,NJ,HKRY,COOKS,(UFB),4PC""","火腿,斯普尔,纽泽西风味,蜂蜜烤,厨师品牌,4片装"
"""HAM,STK,SMKD,BI,WA,(UFB),FL,12PC""","火腿,烟熏,牛肉,华盛顿,（未知品牌）,流质,12片装"
"""HAM,WA,HNY/BRWN SGR,PD,9/11,2PC""",火腿华夫饼，蜂蜜/棕色糖浆，花生酱，9/11英寸，2片装
"""HATCH"" GREEN CHILE FIESTA MIX","""HATCH""绿辣椒狂欢混合食品"
"""HOLAND STYLE"" HERRING FILLET IN OIL, ""HOLAND STYLE""","荷兰风味油浸鲱鱼片,""HOLAND STYLE"""
"""HONOLULU BLUE"" CREAM SODA","""火奴鲁鲁蓝""奶油苏打水"
"""HOT 'N SPICY"" CORN RELISH, ""HOT 'N SPICY""","辣味玉米酱""HOT 'N SPICY"""
"""HOT AND SPICY"" SWEET HEAT BARBECUE SAUCE, ""HOT AND SPICY"" SWEET HEAT",辣味甜热烧烤酱，“辣味甜热”
"""JALAPENO AGAVE"" WHITE CORN TORTILLA CHIPS, ""JALAPENO AGAVE""","辣椒阿瓜薄玉米片辣味版(""JALAPENO AGAVE"" WHITE CORN TORTILLA CHIPS)"
"""JULIE'S"" SPINACH DIP",朱莉的菠菜蘸酱
"""LIL PORKIES"" SMOKED SAUSAGE, ""LIL PORKIES""","辣味小猪熏肠""LIL PORKIES"""
"""LN,BNLS,CC,CAN,BK,5/7,DRY,GM,VP,2PC,Z""","辣味鸡翅干果仁组合装(LN,BNLS,CC,CAN,BK,5/7,DRY,GM,VP,2PC,Z)：

辣味鸡翅干果仁组合包"
"""LUMBER JACK"" CENTER-CUT SMOKED SAUSAGE, FRESH BUTTERMILK BISCUIT, EGG & CHEESE SUPER-SIZE SANDWICHES, ""LUMBER JACK""","""林木杰克""牌中心切割烟熏香肠、新鲜奶油饼干、鸡蛋芝士加大三明治、""林木杰克""版"
"""MEMPHIS STYLE"" BBQ RUB, ""MEMPHIS STYLE""",孟菲斯风味烧烤粉
"""MEZZELUNE"" SEMI CIRCULAR STUFFED PASTA, RAVIOLI",半圆形意面饺子，瑞沃利尼面饺
"""MILD BEAN AND BEEF BEAN AND BEEF WITH CHEESE AND MILD ROASTED GREEN CHILE BURRITO, ""MILD BEAN AND BEEF","牛肉豆类及芝士绿辣椒温和辣味卷饼, 温和牛肉豆卷饼"
"""MILK"" & COOKIES NON-DAIRY FROZEN DESSERT ICE CREAM",牛奶曲奇非乳制冷冻甜点冰淇淋
"""MILK"" & COOKIES VANILLA NON-DAIRY FROZEN DESSERT WITH CHOCOLATE CHIP COOKIES, CHOCOLATE SANDWICH COOKIES & CHOCOLATE COOKIE SWIRLS, ""MILK"" & COOKIES","""牛奶""曲奇香草非乳制冷冻甜品搭配巧克力豆曲奇、巧克力夹心曲奇及巧克力曲奇漩涡,""牛奶""与曲奇"
"""MILK"" & COOKIES VANILLA WITH CHOCOLATE CHIP COOKIES, CHOCOLATE SANDWICH COOKIES AND CHOCOLATE COOKIE SWIRLS NON-DAIRY FROZEN DESSERT, ""MILK"" & COOKIES","""牛奶""曲奇香草味巧克力豆曲奇、巧克力夹心曲奇和非乳制巧克力曲奇冰淇淋，""牛奶""与曲奇组合款"
"""MORTGAGE LIFTER"" BARBECUE SAUCE",抵押贷款提升牌烧烤酱
"""MORTGAGE LIFTER"" PASTA SAUCE",抵押贷款提升牌意面酱
"""Minions"" Cheese, Cooked Sausage Crumbles (Made with Turkey) & Egg Breakfast Wrap","""小黄人""芝士火鸡肠碎蛋卷早餐 wrap"
"""NASHVILLE HOT"" VERY SPICY CHOW CHOW ROYAL RELISH, ""NASHVILLE HOT""",纳什维尔辣味超辣秋葵皇牌腌菜
"""NO CHEESE"" CHEESINESS GRAIN FREE PALEO PUFFS, ""NO CHEESE"" CHEESINESS","""无奶酪""奶酪味无谷物古式薯片,""无奶酪""奶酪味"
"""NO CHEESE"" CHEESINESS ORGANIC POPCORN WITH ORGANIC COCONUT OIL, ""NO CHEESE"" CHEESINESS","""无芝""有机椰油起司味爆米花,起司味"
"""NO CHEESE"" CHEESINESS ORGANIC POPCORN, ""NO CHEESE"" CHEESINESS","""无奶酪""芝香味有机爆米花,""无奶酪""芝香味"
"""NO CHEESE"" CHEESINESS PALEO PUFFS, ""NO CHEESE CHEESINESS","无奶酪芝士味古食薯片,""NO CHEESE"" CHEESINESS PALEO PUFFS"
"""NO CHEESE"" CHEESINESS PALEO PUFFS, ""NO CHEESE"" CHEESINESS","""无奶酪""奶酪味古食爆米花,""无奶酪""奶酪味"
"""NO CHEESE"" CHEESINESS POWER CURLS, ""NO CHEESE"" CHEESINESS",“无芝”芝香味力量卷曲薯条，“无芝”芝香味
"""OLD FASHIONED"" LIMBURGER PASTEURIZED PROCESS CHEESE SPREAD, LIMBURGER",老式林堡干酪巴氏杀菌奶酪酱，林堡口味
"""OOH LA LA"" FRENCH DRESSING","""噢啦啦""法式调味酱"
"""ORIGINAL"" CARAMEL CREAMS",焦糖奶油糖ORIGINAL
"""ORIGINAL"" MOOSE TRACKS CHURNED LIGHT ICE CREAM VANILLA LIGHT ICE CREAM WITH PEANUT BUTTER CUPS AND FAMOUS MOOSE TRACKS FUDGE, ""ORIGINAL"" MOOSE TRACKS","原味驼鹿足迹轻冰淇淋搅拌型香草轻冰淇淋配花生杯和著名驼鹿足迹软糖,""ORIGINAL"" MOOSE TRACKS"
"""ORIGINAL"" MOOSE TRACKS PREMIUM VANILLA ICE CREAM WITH PEANUT BUTTER CUPS AND FAMOUS MOOSE TRACKS FUDGE, ""ORIGINAL"" MOOSE TRACKS",原味驼鹿足迹高级香草冰淇淋配花生酱杯和著名驼鹿足迹软糖，原味驼鹿足迹
"""ORIGINAL"" MOOSE TRACKS VANILLA FROZEN YOGURT WITH PEANUT BUTTER CUPS AND MOOSE TRACKS FUDGE, ""ORIGINAL"" MOOSE TRACKS","原始鹿迹香草冻酸奶配花生酱杯和鹿迹软糖, 原始鹿迹品牌"
"""ORIGINAL"" MOOSE TRACKS VANILLA ICE CREAM WITH PEANUT BUTTER CUPS AND FAMOUS MOOSE TRACKS FUDGE, ""ORIGINAL"" MOOSE TRACKS",原味驼迹香草冰淇淋配花生酱杯和著名驼迹软糖，原味驼迹
"""ORIGINAL"" MOOSE TRACKS VANILLA ICE CREAM WITH PEANUT BUTTER CUPS AND MOOSE TRACKS FUDGE, ""ORIGINAL"" MOOSE TRACKS",原味摩尔追踪香草冰淇淋配花生酱杯和摩尔追踪巧克力酱，“ORIGINAL” MOOSE TRACKS
"""OUR BEST"" BREADED VEAL & BEEF PATTIES, 4 OZ, 4 COUNT",breaded 小牛肉和牛肉饼，4盎司，4个装
"""PARTY PACK"" FRANKS",派对包法兰克肠
"""PEPP,SLCD,1.75""DIA,2 BAGS,GF,10#NT,Z""",胡椒味切片面包，1.75英寸直径，2袋，无麸质，10盎司，Z品牌
"""PIC,BNLS,CUSH MT,VP,FL,4-4PC OR 4-5PC""",披萨饼片，去骨，肉桂味，真空包装，4-4片或4-5片装
"""PIC,MT,75,BNLS,SHLDR,P/L,WAX-FREE,60#""","酱猪肩肉排（PIC,MT,75,BNLS,SHLDR,P/L,WAX-FREE,60#）"
"""PK,SMKD,PULLED,GM,2/5#,Z""",PK烧烤拉丝玉米粒2/5号Z
"""RACK-OF-PK,ET12,UNSEAS,2-1PC,Z""",猪肉肋排，未腌制，2块装
"""RANCH"" SNACKABLE EGGS & CRUNCHY DIP, ""RANCH",牧场风味零食鸡蛋与酥脆蘸酱
"""RIVER RAT"" CHEESE",河鼠奶酪
"""RST,HAM,BNLS,NTD,SM,3PC,Z""",熟食火腿块，去骨，无糖，熏制，3块装
"""RST,LN,PK,APL CIN,PRECKD,FL,2PC,Z""",苹果肉桂预制派两件装
"""SAUS,LK,FC,EF,20:1,2/10#,Z""","香肠,LK,炸鸡,香草味,20:1,2/10#,Z"
"""SAUS,LK,MILD ITAL,FL,4:1,10#,Z""","意大利风味辣香肠（SAUS,LK,MILD ITAL,FL,4:1,10#,Z）"
"""SAUS,PTY,FC,TKY,EF,1.47 OZ,CN,10#,Z""",鸡肉味方形蛋糕派，东京风，1.47盎司，康乃馨品牌，编号10#Z
"""SAUS,PTY,WH HG,DIXIE SKLT,1.5OZ,10#,Z""",sausagePTY白橡木熏味 DixieSKLT香肠 1.5盎司*10#Z
"""SAUS,SMKD,SPLIT,2/6#,Z""",香肠，熏制，去骨，2/6号，Z型加工
"""SEA SALT"" ORGANIC WHITE CORN TORTILLA CHIPS, ""SEA SALT""","海盐有机白玉米玉米片,""SEA SALT"""
"""SEASON DIPPER"" CRACKLINS, ""SEASON DIPPER""",猪皮脆片（Season Dipper）
"""SECRET"" CHILI SEASONING",辣椒的秘密调味料
"""SIZZLE"" EXTRA VIRGIN OLIVE OIL COOKING OIL","橄榄油（""SIZZLE"" 额外处女橄榄油）"
"""SLAMMIN' GOOD GREENS!""",爽脆绿蔬！
"""SMOKY"" MEDIUM ROASTED SALSA, ""SMOKY""","烟熏式中度烘焙莎莎酱,""SMOKY"""
"""SOUR CREAM"" & CHIVE SPROUTED CASHEWS, ""SOUR CREAM"" & CHIVE",酸奶油与大蒜苗发芽腰果
"""SRLN,BNLS,ET12,FL,VP,6-4PC""",斯瑞尔恩香蕉片，真空包装，6-4片装
"""ST. LOUIS STYLE"" BBQ RIB RUB, ""ST. LOUIS STYLE""",圣路易斯风味的烤排骨腌料
"""SWEET AND SMOKY BARBECUE SAUCE, SWEET AND SMOKY",甜烟熏烧烤酱
"""SWEET"" ITALIAN DRESSING",甜味意大利酱
"""THE CATTLE CALL"" WINNING BEEF SEASONING","""The CATTLE CALL"" 赢家牛肉调味料"
"""THE CRAB CHIP"" POTATO CHIPS WITH CHESAPEAKE BAY CRAB SEASONING, CHESAPEAKE BAY CRAB SEASONING",蟹肉味土豆片（THE CRAB CHIP）调味为切萨皮克湾蟹味调料
"""THE CRAB CHIP"" POTATO CHIPS, ""THE CRAB CHIP""",蟹味薯片，“THE CRAB CHIP”
"""THE CRAB CHIP"" WITH CHESAPEAKE BAY CRAB SEASONING POTATO CHIPS","蟹肉味切萨皮克湾调味薯片""The Crab Chip"""
"""THE CRAB CHIP"" WITH CHESAPEAKE BAY CRAB SEASONING POTATO CHIPS, CRAB",蟹肉味薯片（THE CRAB CHIP）蟹肉调味版
"""THE EXPLORER MINI"" VEGAN BAR, ""THE EXPLORER MINI""","探险家迷你版素食能量棒,""THE EXPLORER MINI"""
"""THE MAVERICK MINI"" VEGAN BAR, ""THE MAVERICK MINI""","马弗里克迷你素能量棒,""THE MAVERICK MINI"""
"""THE ORIGINAL"" RED VELVET 3-LAYER CAKE","红丝绒三层蛋糕 ""THE ORIGINAL"" 版本"
"""THE TRAILBLAZER MINI"" VEGAN BAR, ""THE TRAILBLAZER MINI""","开拓者迷你素食能量棒,""THE TRAILBLAZER MINI"""
"""TOMATO"" PORK BANGERS, TOMATO",番茄猪肉香肠，番茄味
"""TWO JOE'S SAUCES""",两乔酱料
"""ULTIMATE STEAKHOUSE"" BURGER SEASONING","""终极牛排馆""汉堡调味料"
